ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
BSE,Lower Slough,9/22/1989,0.41,36.8215,-121.7834,19.30,21.2,8.99,,3.35,11.00,,,1.21,86.67,0.03,2.12,0.00,,0.50,16.11,,0.33,0.00
BSW,Lower Slough,9/22/1989,0.39,36.8209,-121.7909,18.70,32.00,8.33,,6.15,4.50,,,0.03,2.30,0.01,0.68,0.00,,0.17,5.42,,0.00,0.00
JR,Lower Slough,9/22/1989,0.38,36.8171,-121.7871,18.80,31.30,8.29,,6.30,3.00,,,0.09,6.45,0.02,1.22,0.00,,0.11,3.54,,0.01,0.00
MCS,Lower Slough,9/22/1989,0.49,36.7963,-121.7832,22.50,38.00,9.28,,11.80,6.00,,,0.04,2.63,0.09,6.30,0.00,,0.09,3.06,,0.02,0.00
SKL,Lower Slough,9/22/1989,0.36,36.8106,-121.7864,15.50,31.50,8.14,,7.40,2.00,,,0.04,2.92,0.05,3.89,0.00,,0.01,0.41,,0.00,0.00
SRB,Salinas River,9/22/1989,0.47,36.7321,-121.7807,19.20,1.70,9.14,,,11.50,,,0.03,1.98,15.67,"1,119.25",0.00,,0.02,0.61,,0.01,0.00
SRL,Salinas River,9/22/1989,0.43,36.748,-121.7835,19.10,5.50,9.11,,7.60,9.00,,,0.02,1.50,9.92,708.30,0.00,,0.06,1.97,,0.01,0.00
CC,Upper Slough,9/23/1989,0.42,36.8601,-121.7401,17.80,13.90,8.32,,3.30,4.75,,,0.06,4.15,0.03,2.12,0.00,,0.09,3.00,,0.00,0.00
HLE,Upper Slough,9/23/1989,0.41,36.8563,-121.7549,19.30,31.50,8.17,,2.90,4.00,,,0.17,11.80,0.04,2.66,0.00,,0.11,3.50,,0.01,0.00
HLW,Upper Slough,9/23/1989,0.41,36.8565,-121.755,19.40,32.00,8.27,,3.40,4.50,,,0.09,6.63,0.04,2.60,0.00,,0.07,2.39,,0.01,0.00
KP,Upper Slough,9/23/1989,0.40,36.8398,-121.7437,19.00,31.00,8.17,,5.70,4.50,,,0.10,6.79,0.08,5.82,0.00,,0.03,1.11,,0.00,0.00
PRN,Tembladero Slough,9/23/1989,0.46,36.7908,-121.7904,17.00,27.90,8.39,,5.40,5.75,,,0.11,7.53,0.62,44.60,0.00,,0.10,3.21,,0.01,0.00
PRS,Tembladero Slough,9/23/1989,0.47,36.7904,-121.7907,17.20,17.90,8.60,,6.80,8.25,,,0.09,6.17,11.43,816.11,0.00,,0.20,6.46,,0.01,0.00
RBR,Reserve,9/23/1989,0.38,36.8199,-121.7371,18.90,30.80,7.47,,4.60,6.00,,,0.11,7.62,0.18,12.76,0.00,,0.04,1.30,,0.00,0.00
RNM,Reserve,9/23/1989,0.39,36.8364,-121.7323,17.80,32.50,7.25,,3.00,14.25,,,0.58,41.33,0.04,3.08,0.00,,0.03,0.88,,0.00,0.00
RSM,Reserve,9/23/1989,0.37,36.824,-121.74,18.00,31.00,7.68,,5.30,4.80,,,0.18,13.20,0.06,4.48,0.00,,0.03,0.84,,0.00,0.00
BSE,Lower Slough,11/19/1989,0.47,36.8215,-121.7834,16.50,18.20,7.65,,7.30,4.50,,,0.11,7.60,0.52,37.28,0.00,,0.25,8.21,,0.00,0.00
BSW,Lower Slough,11/19/1989,0.45,36.8209,-121.7909,15.00,17.50,7.90,,7.00,4.00,,,0.12,8.88,0.10,7.23,0.00,,0.08,2.55,,0.00,0.00
JR,Lower Slough,11/19/1989,0.48,36.8171,-121.7871,15.90,19.00,7.93,,7.80,2.50,,,0.14,9.70,0.01,0.77,0.00,,0.06,2.00,,0.00,0.00
